数据可用,公司信息,基本面,起始日期,结算日期,起始价,结算价,周收益率,涨跌标签
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-735.27%"", ""营业总收入同比增长率"": ""-6.11%"", ""流动比率"": ""1.59"", ""速动比率"": ""1.33"", ""资产负债率"": ""49.26%""}",2025-05-28,2025-06-01,22.26,23.76,0.06738544474393526,涨5+
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-735.27%"", ""营业总收入同比增长率"": ""-6.11%"", ""流动比率"": ""1.59"", ""速动比率"": ""1.33"", ""资产负债率"": ""49.26%""}",2025-06-04,2025-06-08,23.76,25.24,0.06228956228956206,涨5+
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-735.27%"", ""营业总收入同比增长率"": ""-6.11%"", ""流动比率"": ""1.59"", ""速动比率"": ""1.33"", ""资产负债率"": ""49.26%""}",2025-06-11,2025-06-15,25.24,24.7,-0.021394611727416746,跌3
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-735.27%"", ""营业总收入同比增长率"": ""-6.11%"", ""流动比率"": ""1.59"", ""速动比率"": ""1.33"", ""资产负债率"": ""49.26%""}",2025-06-18,2025-06-22,24.7,23.61,-0.04412955465587043,跌5
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-03-31"", ""净利润同比增长率"": ""-735.27%"", ""营业总收入同比增长率"": ""-6.11%"", ""流动比率"": ""1.59"", ""速动比率"": ""1.33"", ""资产负债率"": ""49.26%""}",2025-06-25,2025-06-29,23.61,24.37,0.03218975010588743,涨4
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-25.23%"", ""营业总收入同比增长率"": ""5.96%"", ""流动比率"": ""1.40"", ""速动比率"": ""1.15"", ""资产负债率"": ""49.03%""}",2025-07-02,2025-07-06,24.37,25.75,0.05662700041034063,涨5+
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-25.23%"", ""营业总收入同比增长率"": ""5.96%"", ""流动比率"": ""1.40"", ""速动比率"": ""1.15"", ""资产负债率"": ""49.03%""}",2025-07-09,2025-07-13,25.75,24.01,-0.06757281553398053,跌5+
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-25.23%"", ""营业总收入同比增长率"": ""5.96%"", ""流动比率"": ""1.40"", ""速动比率"": ""1.15"", ""资产负债率"": ""49.03%""}",2025-07-16,2025-07-20,24.01,25.22,0.050395668471470145,涨5+
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-25.23%"", ""营业总收入同比增长率"": ""5.96%"", ""流动比率"": ""1.40"", ""速动比率"": ""1.15"", ""资产负债率"": ""49.03%""}",2025-07-23,2025-07-27,25.22,29.5,0.16970658207771616,涨5+
True,"{""股票代码"": ""920344"", ""股票简称"": ""三元基因"", ""总股本"": 121810000.0, ""流通股"": 113728159.0, ""总市值"": 2577499600.0, ""流通市值"": 2406487844.44, ""行业"": ""生物制品"", ""上市时间"": ""2021-01-08""}","{""报告期"": ""2025-06-30"", ""净利润同比增长率"": ""-25.23%"", ""营业总收入同比增长率"": ""5.96%"", ""流动比率"": ""1.40"", ""速动比率"": ""1.15"", ""资产负债率"": ""49.03%""}",2025-07-30,2025-08-03,29.5,31.22,0.05830508474576268,涨5+
