股票代码,股票名称,新闻标题,新闻内容,发布时间
920178,N锐翔,北交所新股N锐翔首日收盘上涨490.40%,北交所新股N锐翔（920178）今日上市，开盘上涨459.89%，截至收盘涨幅扩大至490.40%，全天成交量1160.72万股，成交额20.48亿元，换手率79.45%。,2026-05-15 16:31:00
920178,N锐翔,N锐翔上市首日开盘上涨459.89%,N锐翔（920178）今日在北交所上市，开盘价165.00元，上涨459.89%。 　　公司是一家专业从事智能制造装备的研发设计、生产、销售的高新技术企业，主要产品及服务包括智能制造装备、设备配件及技术服务，主要应用于消费电子、新能源汽车等行业的智能制造领域。,2026-05-15 10:01:00
920178,N锐翔,N锐翔上市首日开盘大涨459.89%,5月15日，N锐翔上市首日开盘大涨459.89%，报165元，当前总市值达108.8亿元。,2026-05-15 09:28:42
920178,N锐翔,北交所新股N锐翔上午收盘上涨513.51% 半日成交16.23亿元,北交所新股N锐翔(920178)今日上市，开盘上涨459.89%，截至上午收盘涨幅扩大至513.51%，半日成交量924.35万股，成交额16.23亿元，换手率63.27%。,2026-05-15 12:14:00
920178,N锐翔,活跃个股：中际旭创成交293亿元 N锐翔换手率79%,当天换手率最高的个股为N锐翔，全天换手率79.45%。N维通利紧随其后，全天换手率75.45%。,2026-05-15 15:32:05
920178,N锐翔,今日这些个股异动 主力加仓基础化工板块,【振幅大】 　　-今日A股共有14只个股振幅超过20%； 　　-N锐翔、N维通利等个股振幅居前； 　　【换手率高】 　　-今日A股共有6只个股换手率超过40%； 　　-N锐翔、N维通利、C长裕等个股换手率居前； 　　【主力资金】 　　-主力资金今日净流入基础化工、机械设备等板块，净流出电子,2026-05-15 17:01:24
920178,N锐翔,N维通利首日收盘涨297.20%,（数据宝） 　　今日上市新股表现 　　 代码 简称 最新价（元） 收盘涨跌幅（%） 首日换手率（%） 920178 N锐翔 173.99 490.40 79.45 001393 N维通利 120.67 297.20 75.45,2026-05-15 15:41:00
920178,N锐翔,N维通利上午收盘涨329.23% 半日换手率57.49%,（数据宝） 　　今日上市新股表现 代码 简称 最新价（元） 上午收盘涨跌幅（%） 半日换手率（%） 920178 N锐翔 180.80 513.51 63.27 001393 N维通利 130.40 329.23 57.49,2026-05-15 12:15:00
920178,N锐翔,智能制造装备新股，大涨超500%,新股提示：2只新股上市 　　今日有2只新股上市，分别是深市主板的N维通利、北交所的N锐翔。 　　N维通利开盘价120元/股，开盘上涨295%。公司主营业务为硬连接、柔性连接、触头组件、叠层母排和CCS等系列化电连接产品以及同步分解器等产品的研发、生产和销售。,2026-05-15 11:08:00
920178,N锐翔,雷赛智能涨6.07%，股价创历史新高,证券时报·数据宝统计显示，雷赛智能所属的机械设备行业，目前整体跌幅为0.63%，行业内，目前股价上涨的有213只，涨幅居前的有N锐翔、隆华科技、大业股份等，涨幅分别为513.51%、14.50%、9.99%。,2026-05-15 10:16:00
001393,N维通利,N维通利首日收盘涨297.20%,N维通利(001393)今日上市，开盘上涨295.00%，截至收盘涨幅扩大至297.20%，全天成交量3624.63万股，成交额47.13亿元，换手率75.45%。,2026-05-15 15:41:00
001393,N维通利,N维通利今日上市 开盘上涨295.00%,N维通利今日上市，开盘价120.00元，上涨295.00%。 　　公司主营业务为硬连接、柔性连接、触头组件、叠层母排和CCS等系列化电连接产品以及同步分解器等产品的研发、生产和销售。,2026-05-15 10:01:00
001393,N维通利,N维通利上市首日开盘大涨295%,5月15日，N维通利上市首日开盘大涨295.00%，报120元，当前总市值达299亿元。,2026-05-15 09:32:53
001393,N维通利,N维通利上午收盘涨329.23% 半日换手率57.49%,N维通利(001393)今日上市，开盘上涨295.00%，截至上午收盘涨幅扩大至329.23%，半日成交量2761.71万股，成交额36.31亿元，换手率57.49%。,2026-05-15 12:15:00
001393,N维通利,今日这些个股异动 主力加仓基础化工板块,【振幅大】 　　-今日A股共有14只个股振幅超过20%； 　　-N锐翔、N维通利等个股振幅居前； 　　【换手率高】 　　-今日A股共有6只个股换手率超过40%； 　　-N锐翔、N维通利、C长裕等个股换手率居前； 　　【主力资金】 　　-主力资金今日净流入基础化工、机械设备等板块，净流出电子,2026-05-15 17:01:24
